iter	Logloss
0	0.6838502831
1	0.6757252958
2	0.6672894124
3	0.6589584929
4	0.6526511463
5	0.6448352029
6	0.6372774142
7	0.6310352935
8	0.6249271413
9	0.6181801984
10	0.6125729853
11	0.6068095284
12	0.6017150801
13	0.5961116046
14	0.5905853667
15	0.5864952787
16	0.5814657765
17	0.5768810871
18	0.5723243365
19	0.5682268622
20	0.5635076628
21	0.5591381221
22	0.5553302841
23	0.5497824448
24	0.5444282034
25	0.5393261974
26	0.5343643025
27	0.5298843994
28	0.5255733176
29	0.5213831305
30	0.517721921
31	0.5139797064
32	0.5103929612
33	0.5069772197
34	0.5038043706
35	0.5008031893
36	0.4978601364
37	0.4949735586
38	0.4923404625
39	0.4897824921
40	0.4879312538
41	0.4861497133
42	0.4838988905
43	0.4821195725
44	0.4805689191
45	0.4785486184
46	0.4765788814
47	0.4749041647
48	0.4729858731
49	0.471477026
50	0.4700605043
51	0.4684992399
52	0.4672363292
53	0.4660689953
54	0.4649273352
55	0.4637683736
56	0.462615562
57	0.4609887346
58	0.4596376854
59	0.4581388594
60	0.4570981214
61	0.4558254188
62	0.4547400845
63	0.4539350511
64	0.4528648647
65	0.4519834599
66	0.4510199918
67	0.4498725215
68	0.4489207271
69	0.4482159999
70	0.4472730691
71	0.4463329478
72	0.4454627216
73	0.4446970575
74	0.4437797681
75	0.4432783757
76	0.442469417
77	0.4417758426
78	0.4413232202
79	0.4407663074
80	0.4399732117
81	0.4390305442
82	0.4383923738
83	0.4375802641
84	0.4369756452
85	0.4364476691
86	0.4359698367
87	0.4355573645
88	0.4351018794
89	0.4346213408
90	0.4341867985
91	0.4338512026
92	0.4334674437
93	0.4328718934
94	0.432432271
95	0.4320920903
96	0.4317297847
97	0.4314075481
98	0.4310351632
99	0.4306910949
100	0.4303483198
101	0.4298678029
102	0.4295036878
103	0.4291278247
104	0.4288012084
105	0.4284646326
106	0.4280900031
107	0.4276148746
108	0.4273166594
109	0.4269151579
110	0.4265674451
111	0.4264083395
112	0.4261502825
113	0.4259431515
114	0.4256838069
115	0.4254261841
116	0.4250643102
117	0.4247744988
118	0.4245442801
119	0.424342765
120	0.4241465985
121	0.4237373628
122	0.4234711097
123	0.4232877641
124	0.4230588065
125	0.4227919061
126	0.4226193088
127	0.4223629297
128	0.4221658688
129	0.4219568611
130	0.4218065726
131	0.4216569633
132	0.4213767959
133	0.4209598656
134	0.4208174258
135	0.4206910473
136	0.4205677907
137	0.4204018835
138	0.4200653062
139	0.4198485695
140	0.4196560122
141	0.4194627443
142	0.4193426839
143	0.4191265269
144	0.4188951811
145	0.4187312783
146	0.4186022646
147	0.4182620497
148	0.4180325146
149	0.4178417694
150	0.4177555838
151	0.4176125904
152	0.4174419533
153	0.4172809807
154	0.417143482
155	0.4168479474
156	0.4167880618
157	0.4166336795
158	0.4165237341
159	0.4163409971
160	0.4162803291
161	0.4161215206
162	0.4160048908
163	0.415757516
164	0.415622393
165	0.4155681552
166	0.4154319383
167	0.4152454836
168	0.415152171
169	0.4150303918
170	0.4149769234
171	0.4148657714
172	0.4147376561
173	0.4146747393
174	0.414590061
175	0.4145252133
176	0.4143298189
177	0.4142076648
178	0.4140924113
179	0.413874712
180	0.4137979238
181	0.4136565424
182	0.4135164981
183	0.4134155169
184	0.4132000616
185	0.4131240773
186	0.4129610791
187	0.412811663
188	0.4126929096
189	0.4125204867
190	0.4123796305
191	0.4122826609
192	0.4121920231
193	0.4120579204
194	0.4120096705
195	0.4119293032
196	0.4118121607
197	0.4117397211
198	0.4116276496
199	0.4115806202
200	0.4114382669
201	0.4112868993
202	0.41117736
203	0.411042349
204	0.4109001164
205	0.4108406009
206	0.4107997351
207	0.4107034058
208	0.4106089864
209	0.4105606145
210	0.4105387468
211	0.4104667735
212	0.4103377848
213	0.4102976111
214	0.4101588881
215	0.4100763505
216	0.4099430752
217	0.409875246
218	0.4098107785
219	0.4097637089
220	0.4096384687
221	0.4095593856
222	0.4095222838
223	0.4094756019
224	0.4094413645
225	0.4093738639
226	0.4093376658
227	0.4092376067
228	0.4091608477
229	0.4091076598
230	0.4090416739
231	0.4090042762
232	0.4089283928
233	0.4088353867
234	0.4087865533
235	0.4087434755
236	0.4087149025
237	0.4086113167
238	0.4084881701
239	0.4084881699
240	0.4084587558
241	0.408414992
242	0.4082732289
243	0.4081870299
244	0.4081537515
245	0.4081488067
246	0.4080911727
247	0.4080251633
248	0.4079567111
249	0.4078598376
250	0.407736365
251	0.4076549761
252	0.4076210136
253	0.4074895016
254	0.4074887752
255	0.4074678474
256	0.4074457954
257	0.4073989609
258	0.4073091454
259	0.4072909328
260	0.4072001759
261	0.4071224971
262	0.4070964385
263	0.4070429256
264	0.4070039506
265	0.4069544002
266	0.4069082208
267	0.4068221725
268	0.4068220689
269	0.4067359631
270	0.4066454106
271	0.4066118819
272	0.4065595467
273	0.4064689723
274	0.4064322332
