iter	Passed	Remaining
0	8	8047
1	12	6051
2	17	5748
3	22	5631
4	26	5279
5	30	4976
6	33	4741
7	36	4543
8	39	4348
9	42	4224
10	46	4174
11	49	4073
12	51	3944
13	54	3832
14	56	3712
15	59	3629
16	61	3564
17	63	3480
18	66	3442
19	69	3392
20	71	3350
21	74	3305
22	76	3265
23	79	3232
24	82	3219
25	85	3188
26	87	3155
27	89	3110
28	91	3069
29	93	3032
30	96	3007
31	99	3001
32	101	2978
33	104	2958
34	106	2926
35	108	2898
36	110	2873
37	112	2846
38	115	2844
39	117	2821
40	119	2804
41	122	2790
42	124	2769
43	126	2749
44	128	2737
45	131	2731
46	133	2713
47	136	2707
48	138	2688
49	140	2672
50	142	2654
51	144	2638
52	147	2639
53	149	2625
54	152	2615
55	154	2608
56	156	2594
57	158	2581
58	161	2573
59	164	2569
60	166	2555
61	168	2547
62	170	2534
63	172	2522
64	175	2520
65	177	2510
66	180	2507
67	182	2500
68	184	2489
69	186	2477
70	188	2469
71	191	2463
72	193	2453
73	195	2449
74	197	2440
75	200	2437
76	202	2426
77	204	2417
78	206	2408
79	209	2404
80	211	2396
81	214	2396
82	216	2390
83	218	2386
84	220	2377
85	222	2369
86	224	2360
87	226	2352
88	229	2350
89	231	2344
90	233	2336
91	236	2332
92	238	2327
93	240	2320
94	242	2312
95	245	2311
96	247	2304
97	249	2299
98	251	2292
99	253	2285
100	256	2282
101	258	2275
102	261	2279
103	263	2273
104	265	2266
105	268	2263
106	270	2259
107	273	2256
108	275	2254
109	278	2253
110	280	2246
111	282	2242
112	284	2235
113	286	2229
114	288	2222
115	290	2217
116	293	2211
117	295	2206
118	297	2201
119	300	2202
120	302	2197
121	304	2192
122	306	2186
123	308	2180
124	311	2178
125	313	2175
126	316	2172
127	318	2167
128	320	2161
129	322	2160
130	324	2154
131	327	2155
132	329	2150
133	331	2144
134	333	2139
135	336	2135
136	338	2130
137	340	2126
138	343	2125
139	345	2123
140	347	2117
141	349	2113
142	352	2109
143	354	2106
144	356	2104
145	359	2103
146	361	2100
147	364	2097
148	366	2092
149	368	2088
150	370	2083
151	372	2079
152	375	2080
153	378	2079
154	380	2076
155	382	2072
156	385	2068
157	387	2066
158	389	2061
159	392	2061
160	394	2057
161	396	2053
162	399	2050
163	401	2047
164	404	2046
165	407	2045
166	410	2049
167	414	2052
168	417	2055
169	421	2055
170	425	2063
171	428	2063
172	432	2069
173	441	2096
174	447	2110
175	450	2107
176	452	2104
177	454	2101
178	458	2102
179	460	2099
180	463	2095
181	465	2092
182	468	2089
183	470	2086
184	472	2082
185	475	2080
186	477	2077
187	480	2075
188	482	2072
189	485	2068
190	487	2065
191	490	2064
192	493	2061
193	495	2058
194	498	2056
195	500	2054
196	503	2052
197	507	2054
